# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_E12_088   -               12     947       6     937       1     937    1474    +           0 1142.0  26.2  -
Ferrimonadaceae           -          LKAP-GutHK_E12_088   -                9     947       3     937       1     937    1475    +    1.6e-303 1005.2  26.4  -
Cuniculiplasmataceae      -          LKAP-GutHK_E12_088   -               76     902      73     936      52     937    1469    +     2.4e-62  206.7  23.3  -
Halorubraceae             -          LKAP-GutHK_E12_088   -               79     907      76     936      55     937    1470    +     2.3e-61  202.7  23.3  -
Thermoplasmatales         -          LKAP-GutHK_E12_088   -               60     887      73     936      52     937    1370    +     5.8e-61  202.3  23.8  -
Methanocellaceae          -          LKAP-GutHK_E12_088   -               74     902      74     936      54     937    1440    +     7.6e-61  201.2  23.0  -
Halococcaceae             -          LKAP-GutHK_E12_088   -              104     907     100     936      80     937    1474    +     2.3e-60  199.5  22.3  -
Methermicoccaceae         -          LKAP-GutHK_E12_088   -               11     864      41     936      31     937    1346    +     3.9e-60  199.4  22.9  -
Fervidicoccaceae          -          LKAP-GutHK_E12_088   -               79     931      70     936      48     937    1502    +     4.3e-60  199.1  23.9  -
Nitrososphaeraceae        -          LKAP-GutHK_E12_088   -               67     900      67     936      46     937    1470    +       6e-60  198.6  24.0  -
Picrophilaceae            -          LKAP-GutHK_E12_088   -               86     913      74     936      53     937    1479    +     1.7e-59  196.9  22.8  -
Methanomassiliicoccaceae  -          LKAP-GutHK_E12_088   -               75     899      74     936      54     937    1434    +       5e-57  189.1  23.2  -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP-GutHK_E12_088.fa
# Target file:     /root/Github/Database/Family_DB
# Option settings: nhmmscan --tblout /root/Github/Project_Mendel/Data/MSA_Scans_From_nhmmerscan/LKAP-GutHK_E12_088.txt --noali /root/Github/Database/Family_DB /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP-GutHK_E12_088.fa 
# Current dir:     /root/Github/Project_Mendel/source_code
# Date:            Mon Jun 22 10:56:47 2020
# [ok]
