# target name             accession  query name              accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------    -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP.g-Gut1_B12_094.seq -               27     915      10     897       3     897    1474    +           0 1090.6  24.0  -
Sulfolobaceae             -          LKAP.g-Gut1_B12_094.seq -               67     878      65     894      44     897    1464    +     7.9e-78  257.3  22.3  -
Archaeoglobaceae          -          LKAP.g-Gut1_B12_094.seq -               72     868      66     894      45     897    1451    +     2.2e-77  256.0  21.9  -
Methanothermaceae         -          LKAP.g-Gut1_B12_094.seq -               77     876      66     894      48     897    1482    +     4.3e-77  255.3  21.6  -
Methanomicrobiaceae       -          LKAP.g-Gut1_B12_094.seq -               59     848      67     894      47     897    1420    +     5.3e-74  244.9  22.5  -
Desulfurococcaceae        -          LKAP.g-Gut1_B12_094.seq -               70     888      60     894      43     897    1460    +     1.9e-72  239.9  22.6  -
Thermococcaceae           -          LKAP.g-Gut1_B12_094.seq -               60     865      59     894      37     897    1448    +     4.9e-72  238.5  22.3  -
Thermoproteaceae          -          LKAP.g-Gut1_B12_094.seq -               61     877      64     895      42     897    1471    +     7.4e-71  233.0  23.0  -
Pyrodictiaceae            -          LKAP.g-Gut1_B12_094.seq -               80     891      64     894      44     897    1497    +     4.2e-69  228.7  23.7  -
Halobacteriaceae          -          LKAP.g-Gut1_B12_094.seq -               76     873      66     894      46     897    1474    +     4.2e-68  225.0  22.7  -
Acidilobaceae             -          LKAP.g-Gut1_B12_094.seq -               77     893      64     895      50     897    1451    +     8.8e-68  224.2  22.2  -
Methanomicrobiales        -          LKAP.g-Gut1_B12_094.seq -               70     858      68     894      48     897    1425    +     2.7e-67  222.4  22.0  -
Thermofilaceae            -          LKAP.g-Gut1_B12_094.seq -               95     905      67     894      47     897    1513    +     2.2e-65  216.3  22.8  -
Methanospirillaceae       -          LKAP.g-Gut1_B12_094.seq -               27     816      67     894      47     897    1378    +     2.3e-64  212.7  21.9  -
Haloarculaceae            -          LKAP.g-Gut1_B12_094.seq -               78     872      68     894      50     897    1473    +     9.6e-64  210.6  22.3  -
Natrialbaceae             -          LKAP.g-Gut1_B12_094.seq -               90     873      80     894      60     897    1474    +     1.1e-63  210.2  21.5  -
Methanopyraceae           -          LKAP.g-Gut1_B12_094.seq -               77     906      58     894      35     897    1512    +       7e-63  208.6  22.3  -
Nostocaceae               -          LKAP.g-Gut1_B12_094.seq -                4     527     357     896     354     897    1476    +     3.4e-61  202.8  13.1  -
Haloferacaceae            -          LKAP.g-Gut1_B12_094.seq -               77     873      67     894      47     897    1474    +     1.2e-60  200.0  21.8  -
Methanocorpusculaceae     -          LKAP.g-Gut1_B12_094.seq -               72     860      68     894      48     897    1421    +     2.7e-60  199.1  21.6  -
Ferroplasmaceae           -          LKAP.g-Gut1_B12_094.seq -               77     867      68     894      50     897    1442    +     1.5e-58  193.6  19.7  -
Methanotrichaceae         -          LKAP.g-Gut1_B12_094.seq -               75     869      68     894      48     897    1423    +     2.7e-58  192.4  21.3  -
Thermoplasmataceae        -          LKAP.g-Gut1_B12_094.seq -               75     871      65     894      45     897    1471    +     3.2e-58  192.6  21.0  -
Caldisphaeraceae          -          LKAP.g-Gut1_B12_094.seq -               64     879      66     895      46     897    1466    +     5.9e-58  192.2  22.1  -
Methanosarcinaceae        -          LKAP.g-Gut1_B12_094.seq -               74     868      68     894      48     897    1425    +     4.8e-57  188.3  21.0  -
Cuniculiplasmataceae      -          LKAP.g-Gut1_B12_094.seq -               76     867      66     894      45     897    1469    +     3.1e-56  186.4  21.3  -
Thermoplasmatales         -          LKAP.g-Gut1_B12_094.seq -               60     852      66     894      45     897    1370    +     8.6e-55  181.8  21.7  -
Methermicoccaceae         -          LKAP.g-Gut1_B12_094.seq -               16     829      39     894      26     897    1346    +     1.1e-54  181.3  21.1  -
Halococcaceae             -          LKAP.g-Gut1_B12_094.seq -              105     872      94     894      73     897    1474    +     1.9e-54  179.8  20.0  -
Nitrososphaeraceae        -          LKAP.g-Gut1_B12_094.seq -               66     865      59     894      38     897    1470    +       3e-54  179.7  21.9  -
Halorubraceae             -          LKAP.g-Gut1_B12_094.seq -               78     872      68     894      48     897    1470    +     3.6e-54  178.8  21.5  -
Fervidicoccaceae          -          LKAP.g-Gut1_B12_094.seq -               78     896      62     894      41     897    1502    +     3.9e-54  179.4  21.8  -
Picrophilaceae            -          LKAP.g-Gut1_B12_094.seq -               86     878      67     894      54     897    1479    +     1.8e-53  176.9  20.6  -
Methanocellaceae          -          LKAP.g-Gut1_B12_094.seq -               74     867      67     894      47     897    1440    +     1.9e-53  176.6  21.1  -
Methanomassiliicoccaceae  -          LKAP.g-Gut1_B12_094.seq -               75     864      67     894      47     897    1434    +     1.9e-51  170.5  21.3  -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP.g-Gut1_B12_094.seq.fa
# Target file:     /root/Github/Database/Family_DB
# Option settings: nhmmscan --tblout /root/Github/Project_Mendel/Data/MSA_Scans_From_nhmmerscan/LKAP.g-Gut1_B12_094.seq.txt --noali /root/Github/Database/Family_DB /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP.g-Gut1_B12_094.seq.fa 
# Current dir:     /root/Github/Project_Mendel/source_code
# Date:            Mon Jun 22 11:21:38 2020
# [ok]
