# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_D11_089   -               15     878      11     877       3     882    1474    +    4.8e-306 1013.5  23.9  -
Methermicoccaceae         -          LKAP-GutHK_D11_089   -               16     786      49     866      36     882    1346    +       1e-45  151.6  20.4  -
Thermoplasmatales         -          LKAP-GutHK_D11_089   -               60     817      76     876      55     882    1370    +     2.3e-45  150.7  21.7  -
Methanomassiliicoccaceae  -          LKAP-GutHK_D11_089   -               75     827      77     874      57     880    1434    +     1.4e-44  147.8  20.2  -
Ferroplasmaceae           -          LKAP-GutHK_D11_089   -               77     832      78     876      59     882    1442    +     1.5e-44  147.2  19.2  -
Halorubraceae             -          LKAP-GutHK_D11_089   -               78     829      78     866      58     879    1470    +     2.1e-44  146.5  20.5  -
Nitrososphaeraceae        -          LKAP-GutHK_D11_089   -               66     829      69     875      48     882    1470    +     2.4e-44  146.9  21.6  -
Methanocellaceae          -          LKAP-GutHK_D11_089   -               74     764      77     807      57     829    1440    +     1.2e-43  144.1  19.3  -
Picrophilaceae            -          LKAP-GutHK_D11_089   -               86     844      77     877      57     882    1479    +     1.2e-41  137.6  20.9  -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP-GutHK_D11_089.fa
# Target file:     /root/Github/Database/Family_DB
# Option settings: nhmmscan --tblout /root/Github/Project_Mendel/Data/MSA_Scans_From_nhmmerscan/LKAP-GutHK_D11_089.txt --noali /root/Github/Database/Family_DB /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP-GutHK_D11_089.fa 
# Current dir:     /root/Github/Project_Mendel/source_code
# Date:            Mon Jun 22 10:54:47 2020
# [ok]
