# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_A12_096   -               10     938       4     927       2     927    1474    +           0 1134.5  25.5  -
Ferrimonadaceae           -          LKAP-GutHK_A12_096   -               10     938       4     927       2     927    1475    +    3.4e-303 1004.1  25.7  -
Cuniculiplasmataceae      -          LKAP-GutHK_A12_096   -               76     893      74     926      53     927    1469    +     1.1e-59  197.8  21.2  -
Methanosarcinaceae        -          LKAP-GutHK_A12_096   -               74     895      76     927      56     927    1425    +     4.1e-59  195.2  22.1  -
Fervidicoccaceae          -          LKAP-GutHK_A12_096   -               78     922      70     926      49     927    1502    +     6.4e-59  195.2  23.1  -
Picrophilaceae            -          LKAP-GutHK_A12_096   -               86     894      75     916      55     927    1479    +     3.7e-57  189.1  20.7  -
Methermicoccaceae         -          LKAP-GutHK_A12_096   -               16     855      47     926      34     927    1346    +       4e-57  189.4  21.6  -
Halorubraceae             -          LKAP-GutHK_A12_096   -               86     899      84     927      61     927    1470    +     6.6e-57  188.0  21.5  -
Methanocellaceae          -          LKAP-GutHK_A12_096   -               74     894      75     927      55     927    1440    +     8.2e-57  187.8  22.2  -
Thermoplasmatales         -          LKAP-GutHK_A12_096   -               60     878      74     926      53     927    1370    +     1.2e-56  188.1  21.9  -
Halococcaceae             -          LKAP-GutHK_A12_096   -              120     899     117     927      96     927    1474    +       3e-56  185.8  18.9  -
Methanomassiliicoccaceae  -          LKAP-GutHK_A12_096   -               75     890      75     926      55     927    1434    +     2.6e-53  176.8  21.5  -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP-GutHK_A12_096.fa
# Target file:     /root/Github/Database/Family_DB
# Option settings: nhmmscan --tblout /root/Github/Project_Mendel/Data/MSA_Scans_From_nhmmerscan/LKAP-GutHK_A12_096.txt --noali /root/Github/Database/Family_DB /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP-GutHK_A12_096.fa 
# Current dir:     /root/Github/Project_Mendel/source_code
# Date:            Mon Jun 22 10:49:22 2020
# [ok]
