# target name             accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          A0517_LKAP-FHGF1_B01_013 -               23     951       5     927       1     939    1474    +           0 1057.4  15.7  -
Chloroflexales            -          A0517_LKAP-FHGF1_B01_013 -               22     901       9     927       2     938    1355    +    1.2e-106  353.7  16.9  -
Tepidisphaeraceae         -          A0517_LKAP-FHGF1_B01_013 -               77     929      54     933      33     940    1491    +    4.4e-102  338.3  14.6  -
Methanocaldococcaceae     -          A0517_LKAP-FHGF1_B01_013 -               71     914      45     919      24     928    1429    +     1.6e-80  266.9  14.7  -
Methanobacteriaceae       -          A0517_LKAP-FHGF1_B01_013 -               52     880      55     917      35     928    1403    +     4.4e-77  255.0  14.7  -
Methanococcaceae          -          A0517_LKAP-FHGF1_B01_013 -               69     891      57     917      37     927    1410    +     2.3e-73  242.9  14.8  -
Sulfolobaceae             -          A0517_LKAP-FHGF1_B01_013 -               53     871      44     879      31     902    1464    +     6.3e-71  234.5  17.0  -
Methanoregulaceae         -          A0517_LKAP-FHGF1_B01_013 -               55     875      57     917      37     926    1413    +     1.1e-70  233.7  15.4  -
Methanothermaceae         -          A0517_LKAP-FHGF1_B01_013 -               76     907      55     917      34     928    1482    +       4e-70  232.3  15.0  -
Archaeoglobaceae          -          A0517_LKAP-FHGF1_B01_013 -               66     899      53     917      28     927    1451    +     3.2e-69  229.1  15.1  -
Methanomicrobiaceae       -          A0517_LKAP-FHGF1_B01_013 -               58     879      56     917      36     926    1420    +     7.1e-68  224.6  15.9  -
Desulfurococcaceae        -          A0517_LKAP-FHGF1_B01_013 -               71     881      51     879      39     900    1460    +     3.8e-64  212.4  17.6  -
Methanomicrobiales        -          A0517_LKAP-FHGF1_B01_013 -               69     889      57     917      37     928    1425    +     2.8e-63  209.1  14.9  -
Thermoproteaceae          -          A0517_LKAP-FHGF1_B01_013 -               51     869      47     879      27     900    1471    +     1.1e-62  205.9  17.8  -
Thermococcaceae           -          A0517_LKAP-FHGF1_B01_013 -               65     858      54     879      33     900    1448    +     5.4e-62  205.3  16.2  -
Pyrodictiaceae            -          A0517_LKAP-FHGF1_B01_013 -               78     885      52     880      31     915    1497    +     3.8e-61  202.4  18.4  -
Halobacteriaceae          -          A0517_LKAP-FHGF1_B01_013 -               62     904      45     917      29     926    1474    +     3.7e-60  198.7  16.4  -
Acidilobaceae             -          A0517_LKAP-FHGF1_B01_013 -               77     885      54     879      34     900    1451    +     4.3e-59  195.4  17.3  -
Methanopyraceae           -          A0517_LKAP-FHGF1_B01_013 -               83     939      53     919      30     934    1512    +     7.9e-59  195.3  15.2  -
Thermofilaceae            -          A0517_LKAP-FHGF1_B01_013 -               95     926      57     908      43     923    1513    +     5.1e-58  191.9  16.7  -
Methanospirillaceae       -          A0517_LKAP-FHGF1_B01_013 -               27     847      57     917      41     926    1378    +     7.3e-58  191.2  15.6  -
Haloarculaceae            -          A0517_LKAP-FHGF1_B01_013 -               55     904      38     918      27     926    1473    +     1.4e-57  190.3  16.7  -
Nostocaceae               -          A0517_LKAP-FHGF1_B01_013 -                4     571     347     934     344     940    1476    +     1.6e-57  190.7   6.7  -
Natrialbaceae             -          A0517_LKAP-FHGF1_B01_013 -               59     905      42     918      28     926    1474    +     1.8e-56  186.4  16.4  -
Caldisphaeraceae          -          A0517_LKAP-FHGF1_B01_013 -               62     901      54     910      34     926    1466    +     2.6e-54  180.2  15.6  -
Methanocorpusculaceae     -          A0517_LKAP-FHGF1_B01_013 -               71     891      57     917      37     928    1421    +     1.3e-53  177.0  14.9  -
Haloferacaceae            -          A0517_LKAP-FHGF1_B01_013 -               76     904      56     917      35     926    1474    +     2.2e-53  176.0  15.7  -
Cuniculiplasmataceae      -          A0517_LKAP-FHGF1_B01_013 -               75     899      55     918      35     934    1469    +     1.7e-52  174.1  14.5  -
Methanotrichaceae         -          A0517_LKAP-FHGF1_B01_013 -               75     900      58     917      38     928    1423    +       6e-52  171.5  15.2  -
Methermicoccaceae         -          A0517_LKAP-FHGF1_B01_013 -               18     862      44     920      31     931    1346    +     2.2e-51  170.5  14.7  -
Fervidicoccaceae          -          A0517_LKAP-FHGF1_B01_013 -               75     927      49     917      28     928    1502    +     3.5e-50  166.3  15.9  -
Ferroplasmaceae           -          A0517_LKAP-FHGF1_B01_013 -               76     867      57     886      48     919    1442    +     6.5e-50  165.1  14.7  -
Methanosarcinaceae        -          A0517_LKAP-FHGF1_B01_013 -               74     900      58     918      37     927    1425    +       1e-48  160.8  14.6  -
Thermoplasmatales         -          A0517_LKAP-FHGF1_B01_013 -               59     884      55     918      35     934    1370    +     1.3e-48  161.5  14.7  -
Halococcaceae             -          A0517_LKAP-FHGF1_B01_013 -               76     904      56     918      24     927    1474    +     1.5e-48  160.3  16.5  -
Nitrososphaeraceae        -          A0517_LKAP-FHGF1_B01_013 -               72     890      55     911      35     930    1470    +     1.7e-48  160.7  14.8  -
Methanocellaceae          -          A0517_LKAP-FHGF1_B01_013 -               74     898      57     917      37     927    1440    +     2.1e-48  159.9  15.3  -
Halorubraceae             -          A0517_LKAP-FHGF1_B01_013 -               76     904      56     918      36     926    1470    +     8.5e-48  157.8  15.2  -
Methanomassiliicoccaceae  -          A0517_LKAP-FHGF1_B01_013 -               75     896      57     919      36     936    1434    +       1e-47  158.3  14.6  -
Thermoplasmataceae        -          A0517_LKAP-FHGF1_B01_013 -               75     865      55     880      40     911    1471    +       2e-47  156.9  15.9  -
Picrophilaceae            -          A0517_LKAP-FHGF1_B01_013 -               85     903      56     911      46     927    1479    +       3e-47  156.3  15.0  -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/A0517_LKAP-FHGF1_B01_013.fa
# Target file:     /root/Github/Database/Family_DB
# Option settings: nhmmscan --tblout /root/Github/Project_Mendel/Data/MSA_Scans_From_nhmmerscan/A0517_LKAP-FHGF1_B01_013.txt --noali /root/Github/Database/Family_DB /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/A0517_LKAP-FHGF1_B01_013.fa 
# Current dir:     /root/Github/Project_Mendel/source_code
# Date:            Mon Jun 22 10:04:40 2020
# [ok]
