# target name             accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Shewanellaceae            -          F0117_LKAP-FHGF1_A12_096 -               20     871       6     855       1     855    1483    +           0 1032.0  20.3  -
Phycisphaeraceae          -          F0117_LKAP-FHGF1_A12_096 -               59     835      54     854      28     855    1461    +    2.1e-104  345.9  20.3  -
Tepidisphaeraceae         -          F0117_LKAP-FHGF1_A12_096 -               73     850      54     854      32     855    1491    +     5.7e-98  324.5  20.4  -
Methanocaldococcaceae     -          F0117_LKAP-FHGF1_A12_096 -               70     843      45     854      23     855    1429    +     2.2e-75  249.8  19.6  -
Methanococcaceae          -          F0117_LKAP-FHGF1_A12_096 -               70     826      62     854      55     855    1410    +     4.4e-72  238.5  20.1  -
Methanoregulaceae         -          F0117_LKAP-FHGF1_A12_096 -               55     810      61     854      41     855    1413    +     1.9e-68  226.2  20.2  -
Methanobacteriaceae       -          F0117_LKAP-FHGF1_A12_096 -               53     815      60     854      40     855    1403    +     1.6e-67  223.2  19.6  -
Archaeoglobaceae          -          F0117_LKAP-FHGF1_A12_096 -               71     835      59     855      38     855    1451    +     7.9e-66  217.7  20.3  -
Sulfolobaceae             -          F0117_LKAP-FHGF1_A12_096 -               66     844      58     854      40     855    1464    +     1.2e-63  210.3  20.9  -
Methanomicrobiaceae       -          F0117_LKAP-FHGF1_A12_096 -               58     814      60     854      40     855    1420    +     1.2e-63  210.4  20.7  -
Methanothermaceae         -          F0117_LKAP-FHGF1_A12_096 -               77     842      60     855      40     855    1482    +     2.5e-63  209.7  20.2  -
Desulfurococcaceae        -          F0117_LKAP-FHGF1_A12_096 -               75     855      59     855      49     855    1460    +     3.1e-63  209.3  22.0  -
Thermococcaceae           -          F0117_LKAP-FHGF1_A12_096 -               66     832      59     855      39     855    1448    +       9e-63  207.8  20.9  -
Thermoproteaceae          -          F0117_LKAP-FHGF1_A12_096 -               61     843      58     855      44     855    1471    +     1.4e-58  192.2  21.7  -
Pyrodictiaceae            -          F0117_LKAP-FHGF1_A12_096 -               80     858      58     855      47     855    1497    +     3.1e-57  189.3  23.0  -
Thermofilaceae            -          F0117_LKAP-FHGF1_A12_096 -               95     872      61     855      55     855    1513    +     1.1e-56  187.4  21.8  -
Acidilobaceae             -          F0117_LKAP-FHGF1_A12_096 -               79     859      60     855      49     855    1451    +     3.4e-55  182.4  22.6  -
Nostocaceae               -          F0117_LKAP-FHGF1_A12_096 -                4     489     351     853     348     855    1476    +       4e-55  182.6  11.8  -
Methanomicrobiales        -          F0117_LKAP-FHGF1_A12_096 -               69     824      61     854      41     855    1425    +     2.7e-54  179.2  21.4  -
Halobacteriaceae          -          F0117_LKAP-FHGF1_A12_096 -               72     838      56     853      36     855    1474    +     2.4e-53  176.0  19.6  -
Methanosarcinaceae        -          F0117_LKAP-FHGF1_A12_096 -               63     834      44     854      24     855    1425    +     1.7e-52  173.1  18.5  -
Methanopyraceae           -          F0117_LKAP-FHGF1_A12_096 -               86     873      60     855      40     855    1512    +     5.7e-52  172.4  21.0  -
Methanospirillaceae       -          F0117_LKAP-FHGF1_A12_096 -               27     782      61     854      41     855    1378    +     1.4e-51  170.3  20.4  -
Natrialbaceae             -          F0117_LKAP-FHGF1_A12_096 -               78     838      62     853      41     855    1474    +     4.4e-50  165.1  19.3  -
Caldisphaeraceae          -          F0117_LKAP-FHGF1_A12_096 -               63     845      59     855      39     855    1466    +     5.5e-50  165.8  21.5  -
Haloarculaceae            -          F0117_LKAP-FHGF1_A12_096 -               75     837      59     853      41     855    1473    +     4.8e-49  161.8  19.6  -
Methanocellaceae          -          F0117_LKAP-FHGF1_A12_096 -               74     767      61     791      48     812    1440    +     1.7e-48  160.1  20.4  -
Haloferacaceae            -          F0117_LKAP-FHGF1_A12_096 -               75     838      59     853      38     855    1474    +     2.6e-48  159.1  19.4  -
Thermoplasmataceae        -          F0117_LKAP-FHGF1_A12_096 -               76     838      60     855      50     855    1471    +     1.9e-47  156.9  18.9  -
Methermicoccaceae         -          F0117_LKAP-FHGF1_A12_096 -               31     796      61     855      41     855    1346    +     3.2e-47  156.6  19.6  -
Cuniculiplasmataceae      -          F0117_LKAP-FHGF1_A12_096 -               75     833      59     854      39     855    1469    +     3.7e-47  156.3  18.9  -
Fervidicoccaceae          -          F0117_LKAP-FHGF1_A12_096 -               80     863      58     855      37     855    1502    +     5.1e-47  155.7  20.8  -
Thermoplasmatales         -          F0117_LKAP-FHGF1_A12_096 -               60     818      60     854      39     855    1370    +       1e-46  155.1  19.9  -
Ferroplasmaceae           -          F0117_LKAP-FHGF1_A12_096 -               70     833      51     854      30     855    1442    +     1.4e-46  153.9  17.7  -
Methanomassiliicoccaceae  -          F0117_LKAP-FHGF1_A12_096 -               75     828      61     852      41     855    1434    +     1.9e-46  153.9  18.3  -
Methanotrichaceae         -          F0117_LKAP-FHGF1_A12_096 -               75     769      62     791      42     812    1423    +     2.5e-46  152.7  20.9  -
Methanocorpusculaceae     -          F0117_LKAP-FHGF1_A12_096 -               72     826      62     854      41     855    1421    +     1.3e-44  147.0  18.8  -
Nitrososphaeraceae        -          F0117_LKAP-FHGF1_A12_096 -               70     831      57     854      36     855    1470    +     3.9e-44  146.1  19.9  -
Halorubraceae             -          F0117_LKAP-FHGF1_A12_096 -               76     837      60     853      50     855    1470    +       2e-43  143.2  19.4  -
Picrophilaceae            -          F0117_LKAP-FHGF1_A12_096 -               86     844      61     854      49     855    1479    +     1.5e-42  140.6  19.0  -
Halococcaceae             -          F0117_LKAP-FHGF1_A12_096 -               93     837      77     853      55     855    1474    +     2.3e-42  139.7  19.6  -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/F0117_LKAP-FHGF1_A12_096.fa
# Target file:     /root/Github/Database/Family_DB
# Option settings: nhmmscan --tblout /root/Github/Project_Mendel/Data/MSA_Scans_From_nhmmerscan/F0117_LKAP-FHGF1_A12_096.txt --noali /root/Github/Database/Family_DB /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/F0117_LKAP-FHGF1_A12_096.fa 
# Current dir:     /root/Github/Project_Mendel/source_code
# Date:            Mon Jun 22 10:17:02 2020
# [ok]
