# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae             -          LKAP-TSAKG2_E06_040_2018_2 -               18     923      14     917       8     918    1468    +           0 1050.4  18.3  -
Chitinivibrionaceae       -          LKAP-TSAKG2_E06_040_2018_2 -               28     942      13     916       5     918    1488    +    3.3e-127  421.2  18.3  -
Prochlorotrichaceae       -          LKAP-TSAKG2_E06_040_2018_2 -               14     863      18     916       8     918    1448    +    8.5e-127  419.8  17.7  -
Soortiaceae               -          LKAP-TSAKG2_E06_040_2018_2 -               51     957      18     916       6     918    1516    +    1.3e-125  415.9  17.7  -
Balneicellaceae           -          LKAP-TSAKG2_E06_040_2018_2 -               31     934      18     916       6     918    1505    +    2.3e-125  415.1  17.8  -
Verrucomicrobiales        -          LKAP-TSAKG2_E06_040_2018_2 -               43     918      63     916      42     918    1410    +      4e-125  414.7  17.7  -
Thermoflexaceae           -          LKAP-TSAKG2_E06_040_2018_2 -               57     912      61     916      40     918    1466    +    4.2e-124  411.3  18.2  -
Oligosphaeraceae          -          LKAP-TSAKG2_E06_040_2018_2 -               28     898      19     915       8     918    1434    +    2.2e-123  408.5  18.0  -
Filobacteriaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               46     942      18     916       7     918    1521    +    7.3e-122  403.4  18.0  -
Chthonomonadaceae         -          LKAP-TSAKG2_E06_040_2018_2 -                1     892      19     916      19     918    1411    +      2e-121  402.2  18.6  -
Simkaniaceae              -          LKAP-TSAKG2_E06_040_2018_2 -               48     961      19     916       8     918    1545    +      1e-116  386.4  17.9  -
Phycisphaeraceae          -          LKAP-TSAKG2_E06_040_2018_2 -               26     898      17     916       7     918    1461    +    5.9e-116  384.2  17.9  -
Chloroflexales            -          LKAP-TSAKG2_E06_040_2018_2 -               22     891      18     916       7     918    1355    +    1.2e-114  380.2  18.2  -
Tepidisphaeraceae         -          LKAP-TSAKG2_E06_040_2018_2 -               48     913      19     916       7     918    1491    +    1.6e-114  379.4  17.9  -
Waddliaceae               -          LKAP-TSAKG2_E06_040_2018_2 -               54     972      19     916       8     918    1557    +    6.4e-113  374.0  17.5  -
Methanocaldococcaceae     -          LKAP-TSAKG2_E06_040_2018_2 -               49     907      17     916      11     918    1429    +     9.6e-87  287.5  17.4  -
Methanococcaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               70     890      66     916      48     918    1410    +     4.1e-84  278.5  17.7  -
Methanobacteriaceae       -          LKAP-TSAKG2_E06_040_2018_2 -               24     878      17     915      10     918    1403    +     1.2e-83  276.7  16.9  -
Methanoregulaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               28     874      17     916      11     918    1413    +     1.5e-80  266.4  17.8  -
Sulfolobaceae             -          LKAP-TSAKG2_E06_040_2018_2 -               66     879      62     889      42     909    1464    +       1e-78  260.3  17.6  -
Desulfurococcaceae        -          LKAP-TSAKG2_E06_040_2018_2 -               75     889      63     889      53     909    1460    +     9.2e-78  257.5  17.4  -
Methanomicrobiaceae       -          LKAP-TSAKG2_E06_040_2018_2 -               58     878      64     916      39     918    1420    +     1.6e-77  256.6  17.5  -
Halobacteriaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               72     903      60     916      39     918    1474    +       4e-76  251.6  17.1  -
Methanothermaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               49     906      17     916      11     918    1482    +     2.7e-75  249.4  17.1  -
Thermoproteaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               61     884      62     895      39     916    1471    +     4.8e-75  246.9  18.1  -
Haloferacaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               72     903      60     916      39     918    1474    +     6.3e-73  240.8  16.7  -
Thermococcaceae           -          LKAP-TSAKG2_E06_040_2018_2 -               66     866      63     889      39     911    1448    +     6.8e-73  241.4  18.3  -
Methanospirillaceae       -          LKAP-TSAKG2_E06_040_2018_2 -               27     846      65     916      44     918    1378    +     1.3e-72  240.0  18.4  -
Archaeoglobaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               29     898      17     916       7     918    1451    +     1.4e-72  240.2  17.6  -
Haloarculaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               72     902      60     916      39     918    1473    +     1.9e-72  239.5  17.3  -
Methanomicrobiales        -          LKAP-TSAKG2_E06_040_2018_2 -               43     888      18     916       9     918    1425    +     4.1e-71  235.1  17.8  -
Natrialbaceae             -          LKAP-TSAKG2_E06_040_2018_2 -               72     903      60     916      39     918    1474    +       1e-70  233.6  16.3  -
Thermofilaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               95     935      65     916      49     918    1513    +     2.3e-70  232.8  17.8  -
Pyrodictiaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               80     892      62     889      42     910    1497    +     1.5e-69  230.3  18.8  -
Halorubraceae             -          LKAP-TSAKG2_E06_040_2018_2 -               72     902      60     916      39     918    1470    +       3e-69  228.8  16.7  -
Acidilobaceae             -          LKAP-TSAKG2_E06_040_2018_2 -               78     901      63     897      43     916    1451    +     2.5e-67  222.7  17.8  -
Nostocaceae               -          LKAP-TSAKG2_E06_040_2018_2 -                4     554     353     916     350     918    1476    +     3.7e-67  222.5   9.6  -
Methanopyraceae           -          LKAP-TSAKG2_E06_040_2018_2 -               50     936      18     916       8     918    1512    +     1.3e-64  214.4  18.0  -
Methanocorpusculaceae     -          LKAP-TSAKG2_E06_040_2018_2 -               45     888      18     914       9     918    1421    +     2.1e-64  212.8  17.1  -
Methanocellaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               48     897      19     916      12     918    1440    +     4.6e-64  211.8  16.2  -
Caldisphaeraceae          -          LKAP-TSAKG2_E06_040_2018_2 -               63     892      63     902      42     917    1466    +     3.7e-63  209.4  17.6  -
Halococcaceae             -          LKAP-TSAKG2_E06_040_2018_2 -               76     902      64     916      40     918    1474    +     2.9e-62  205.8  17.0  -
Methanosarcinaceae        -          LKAP-TSAKG2_E06_040_2018_2 -               74     898      66     916      46     918    1425    +     2.2e-61  202.7  16.9  -
Fervidicoccaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               80     904      62     895      41     916    1502    +     2.6e-61  203.1  17.0  -
Thermoplasmataceae        -          LKAP-TSAKG2_E06_040_2018_2 -               75     876      63     890      43     914    1471    +       1e-59  197.6  16.6  -
Methanotrichaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               75     899      66     916      46     918    1423    +     2.3e-59  196.0  17.3  -
Ferroplasmaceae           -          LKAP-TSAKG2_E06_040_2018_2 -               76     868      65     889      34     912    1442    +     9.1e-59  194.4  17.3  -
Nitrososphaeraceae        -          LKAP-TSAKG2_E06_040_2018_2 -               70     880      61     902      40     918    1470    +     8.1e-58  191.5  17.2  -
Methermicoccaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               31     856      65     913      45     918    1346    +     9.9e-57  188.1  17.9  -
Cuniculiplasmataceae      -          LKAP-TSAKG2_E06_040_2018_2 -               75     895      63     914      43     918    1469    +     7.1e-56  185.2  17.0  -
Picrophilaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               86     879      65     889      44     912    1479    +     1.5e-54  180.5  17.2  -
Thermoplasmatales         -          LKAP-TSAKG2_E06_040_2018_2 -               60     880      64     914      43     918    1370    +     4.9e-50  166.1  17.2  -
Methanomassiliicoccaceae  -          LKAP-TSAKG2_E06_040_2018_2 -               75     867      65     891      44     913    1434    +     1.3e-49  164.5  17.4  -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP-TSAKG2_E06_040_2018_2.fa
# Target file:     /root/Github/Database/Family_DB
# Option settings: nhmmscan --tblout /root/Github/Project_Mendel/Data/MSA_Scans_From_nhmmerscan/LKAP-TSAKG2_E06_040_2018_2.txt --noali /root/Github/Database/Family_DB /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP-TSAKG2_E06_040_2018_2.fa 
# Current dir:     /root/Github/Project_Mendel/source_code
# Date:            Mon Jun 22 11:14:21 2020
# [ok]
