# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Planococcaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               19     880      15     872       7     872    1491    +           0 1038.1  18.5  -
Mooreiaceae               -          LKAP-TSAKG2_H09_065_2018_2 -               15     844      22     869       8     872    1424    +    1.8e-119  395.6  18.3  -
Verrucomicrobiales        -          LKAP-TSAKG2_H09_065_2018_2 -               42     857      64     872      43     872    1410    +      6e-119  394.2  18.3  -
Spartobacteria            -          LKAP-TSAKG2_H09_065_2018_2 -               21     851      18     871       7     872    1418    +    1.1e-117  389.6  18.7  -
Chloroflexales            -          LKAP-TSAKG2_H09_065_2018_2 -               14     830      15     872       6     872    1355    +    1.4e-117  389.8  18.8  -
Simkaniaceae              -          LKAP-TSAKG2_H09_065_2018_2 -               45     897      20     869       8     872    1545    +    1.6e-117  389.0  18.6  -
Catalimonadaceae          -          LKAP-TSAKG2_H09_065_2018_2 -                7     845      14     871       9     872    1425    +      7e-117  387.0  18.9  -
Ichthyobacteriaceae       -          LKAP-TSAKG2_H09_065_2018_2 -               44     883      19     869       8     872    1521    +    7.9e-114  376.9  18.8  -
Spirochaetales            -          LKAP-TSAKG2_H09_065_2018_2 -               22     854      17     870       7     872    1456    +    1.5e-112  372.5  19.0  -
Waddliaceae               -          LKAP-TSAKG2_H09_065_2018_2 -               50     910      19     871       8     872    1557    +    6.4e-111  367.4  18.3  -
Schleiferiaceae           -          LKAP-TSAKG2_H09_065_2018_2 -               40     880      17     872       6     872    1499    +      2e-108  359.2  18.7  -
Balneicellaceae           -          LKAP-TSAKG2_H09_065_2018_2 -               28     870      19     869       8     871    1505    +      3e-107  355.0  18.6  -
Phycisphaeraceae          -          LKAP-TSAKG2_H09_065_2018_2 -               20     836      15     871       6     872    1461    +      1e-101  337.1  18.0  -
Filobacteriaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               40     878      17     869       6     872    1521    +    3.8e-100  331.5  18.7  -
Tepidisphaeraceae         -          LKAP-TSAKG2_H09_065_2018_2 -               40     851      15     871       6     872    1491    +     1.2e-97  323.5  19.5  -
Methanocaldococcaceae     -          LKAP-TSAKG2_H09_065_2018_2 -               50     844      22     871      12     872    1429    +     8.2e-97  320.8  18.5  -
Sulfolobaceae             -          LKAP-TSAKG2_H09_065_2018_2 -               68     846      66     872      46     872    1464    +       1e-95  316.6  18.5  -
Methanobacteriaceae       -          LKAP-TSAKG2_H09_065_2018_2 -               24     817      21     872      13     872    1403    +     4.4e-94  311.2  17.3  -
Methanococcaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               69     827      67     871      47     872    1410    +     5.9e-94  311.0  18.2  -
Thermococcaceae           -          LKAP-TSAKG2_H09_065_2018_2 -               36     833      22     872      12     872    1448    +     2.4e-93  309.1  18.3  -
Methanothermaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               49     843      21     872      12     872    1482    +     1.6e-89  296.5  18.4  -
Desulfurococcaceae        -          LKAP-TSAKG2_H09_065_2018_2 -               76     856      66     872      46     872    1460    +     1.6e-89  296.4  18.7  -
Acidilobaceae             -          LKAP-TSAKG2_H09_065_2018_2 -               80     860      67     872      46     872    1451    +       4e-88  291.6  18.9  -
Archaeoglobaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               29     836      21     872      11     872    1451    +     8.6e-88  290.5  17.2  -
Thermofilaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               95     873      67     872      47     872    1513    +     6.7e-86  284.2  18.6  -
Pyrodictiaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               82     859      66     872      46     872    1497    +     2.1e-85  282.7  19.6  -
Methanomicrobiaceae       -          LKAP-TSAKG2_H09_065_2018_2 -               32     815      22     871      14     872    1420    +     5.2e-83  274.6  18.4  -
Thermoproteaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               27     844      18     872       9     872    1471    +       1e-81  268.9  20.2  -
Methanoregulaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               29     811      22     871      16     872    1413    +     3.3e-81  268.5  19.2  -
Methanopyraceae           -          LKAP-TSAKG2_H09_065_2018_2 -               47     874      19     872       7     872    1512    +     1.3e-76  254.0  18.1  -
Haloarculaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               47     839      19     871      13     872    1473    +     5.2e-76  251.2  19.4  -
Halobacteriaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               50     840      22     871      13     872    1474    +     5.9e-75  247.6  18.8  -
Caldisphaeraceae          -          LKAP-TSAKG2_H09_065_2018_2 -               58     846      64     872      38     872    1466    +     3.5e-71  235.9  18.0  -
Methanosarcinaceae        -          LKAP-TSAKG2_H09_065_2018_2 -               74     836      68     872      48     872    1425    +     5.4e-71  234.5  17.0  -
Haloferacaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               50     840      22     871      14     872    1474    +       1e-69  230.1  18.1  -
Methanocellaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               47     834      22     871      15     872    1440    +     2.3e-68  226.0  18.7  -
Fervidicoccaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               81     864      65     872      44     872    1502    +     2.4e-68  226.3  17.1  -
Natrialbaceae             -          LKAP-TSAKG2_H09_065_2018_2 -               76     840      66     871      43     872    1474    +     2.4e-68  225.7  18.3  -
Methanospirillaceae       -          LKAP-TSAKG2_H09_065_2018_2 -               27     783      67     871      46     872    1378    +     2.4e-68  225.8  17.5  -
Methanotrichaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               75     837      68     872      46     872    1423    +     3.9e-64  211.8  17.0  -
Halorubraceae             -          LKAP-TSAKG2_H09_065_2018_2 -               74     839      64     871      40     872    1470    +       9e-64  210.6  17.7  -
Nitrososphaeraceae        -          LKAP-TSAKG2_H09_065_2018_2 -               69     832      62     871      39     872    1470    +     7.6e-63  208.1  17.6  -
Methanocorpusculaceae     -          LKAP-TSAKG2_H09_065_2018_2 -               44     827      21     871      11     872    1421    +     1.6e-61  203.2  19.2  -
Methanomicrobiales        -          LKAP-TSAKG2_H09_065_2018_2 -               43     825      22     871      11     872    1425    +     1.1e-60  200.5  18.8  -
Halococcaceae             -          LKAP-TSAKG2_H09_065_2018_2 -               78     837      68     869      45     872    1474    +       2e-60  199.6  18.4  -
Methanomassiliicoccaceae  -          LKAP-TSAKG2_H09_065_2018_2 -               46     830      19     870       9     872    1434    +       5e-60  198.9  19.5  -
Methermicoccaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               31     797      67     872      47     872    1346    +     1.2e-58  194.4  16.8  -
Ferroplasmaceae           -          LKAP-TSAKG2_H09_065_2018_2 -               76     754      67     794      47     815    1442    +     2.7e-56  186.1  21.2  -
Nostocaceae               -          LKAP-TSAKG2_H09_065_2018_2 -                2     489     365     869     364     872    1476    +     6.4e-56  185.3  10.8  -
Thermoplasmataceae        -          LKAP-TSAKG2_H09_065_2018_2 -               75     838      65     871      44     872    1471    +     7.9e-51  168.1  19.3  -
Thermoplasmatales         -          LKAP-TSAKG2_H09_065_2018_2 -               59     815      65     867      43     872    1370    +     7.5e-50  165.5  18.9  -
Picrophilaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               85     772      66     801      45     822    1479    +     9.8e-49  161.1  21.1  -
Cuniculiplasmataceae      -          LKAP-TSAKG2_H09_065_2018_2 -               74     833      64     870      40     872    1469    +       1e-48  161.5  19.2  -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP-TSAKG2_H09_065_2018_2.fa
# Target file:     /root/Github/Database/Family_DB
# Option settings: nhmmscan --tblout /root/Github/Project_Mendel/Data/MSA_Scans_From_nhmmerscan/LKAP-TSAKG2_H09_065_2018_2.txt --noali /root/Github/Database/Family_DB /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP-TSAKG2_H09_065_2018_2.fa 
# Current dir:     /root/Github/Project_Mendel/source_code
# Date:            Mon Jun 22 11:17:04 2020
# [ok]
