# target name             accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          A0516_LKAP-FHGF1_D07_057 -               24     963       6     938       2     938    1474    +           0 1083.8  18.5  -
Chloroflexales            -          A0516_LKAP-FHGF1_D07_057 -               55     912      57     937      35     938    1355    +    7.1e-110  364.4  19.0  -
Tepidisphaeraceae         -          A0516_LKAP-FHGF1_D07_057 -               74     935      53     938      31     938    1491    +    1.8e-108  359.4  18.1  -
Methanocaldococcaceae     -          A0516_LKAP-FHGF1_D07_057 -               75     917      51     926      30     934    1429    +     2.3e-87  289.6  17.8  -
Methanococcaceae          -          A0516_LKAP-FHGF1_D07_057 -               70     898      60     924      42     932    1410    +     1.8e-82  273.1  17.8  -
Methanobacteriaceae       -          A0516_LKAP-FHGF1_D07_057 -               53     886      58     923      38     933    1403    +     1.4e-80  266.6  17.8  -
Sulfolobaceae             -          A0516_LKAP-FHGF1_D07_057 -               66     908      56     917      38     925    1464    +     8.8e-75  247.3  18.7  -
Methanothermaceae         -          A0516_LKAP-FHGF1_D07_057 -               77     917      58     927      40     935    1482    +       1e-74  247.5  18.5  -
Methanoregulaceae         -          A0516_LKAP-FHGF1_D07_057 -               55     876      59     919      39     931    1413    +     1.9e-73  242.9  18.7  -
Archaeoglobaceae          -          A0516_LKAP-FHGF1_D07_057 -               71     908      57     926      37     933    1451    +     6.1e-73  241.4  18.3  -
Methanomicrobiaceae       -          A0516_LKAP-FHGF1_D07_057 -               58     881      58     919      38     933    1420    +       1e-71  237.3  18.9  -
Thermococcaceae           -          A0516_LKAP-FHGF1_D07_057 -               66     909      57     930      38     938    1448    +     3.9e-70  232.3  18.6  -
Desulfurococcaceae        -          A0516_LKAP-FHGF1_D07_057 -               75     920      57     918      47     930    1460    +     1.6e-69  230.3  19.3  -
Thermoproteaceae          -          A0516_LKAP-FHGF1_D07_057 -               61     909      56     919      47     931    1471    +     4.3e-69  227.2  19.8  -
Pyrodictiaceae            -          A0516_LKAP-FHGF1_D07_057 -               80     924      56     919      46     933    1497    +     7.6e-67  221.3  20.2  -
Nostocaceae               -          A0516_LKAP-FHGF1_D07_057 -                4     576     349     938     346     938    1476    +     3.5e-66  219.3  10.4  -
Methanomicrobiales        -          A0516_LKAP-FHGF1_D07_057 -               69     901      59     929      39     937    1425    +     5.1e-66  218.2  18.5  -
Acidilobaceae             -          A0516_LKAP-FHGF1_D07_057 -               79     923      58     918      48     931    1451    +     1.1e-64  213.9  19.3  -
Methanospirillaceae       -          A0516_LKAP-FHGF1_D07_057 -               27     849      59     920      39     930    1378    +     3.4e-64  212.2  18.3  -
Halobacteriaceae          -          A0516_LKAP-FHGF1_D07_057 -               72     906      54     919      36     930    1474    +     7.3e-64  211.0  18.6  -
Thermofilaceae            -          A0516_LKAP-FHGF1_D07_057 -               95     938      59     919      52     933    1513    +     1.9e-62  206.6  19.4  -
Methanopyraceae           -          A0516_LKAP-FHGF1_D07_057 -               86     950      58     930      38     938    1512    +     2.7e-62  206.7  18.2  -
Natrialbaceae             -          A0516_LKAP-FHGF1_D07_057 -               78     906      60     919      40     930    1474    +     5.7e-60  198.0  18.2  -
Haloarculaceae            -          A0516_LKAP-FHGF1_D07_057 -               73     905      55     919      37     930    1473    +       2e-59  196.4  18.4  -
Methanocorpusculaceae     -          A0516_LKAP-FHGF1_D07_057 -               71     900      59     926      39     935    1421    +     1.1e-58  193.9  18.5  -
Haloferacaceae            -          A0516_LKAP-FHGF1_D07_057 -               75     906      57     919      37     930    1474    +     3.2e-57  188.7  18.1  -
Methanotrichaceae         -          A0516_LKAP-FHGF1_D07_057 -               75     911      60     928      40     936    1423    +     3.7e-57  188.7  17.9  -
Caldisphaeraceae          -          A0516_LKAP-FHGF1_D07_057 -               63     909      57     919      37     937    1466    +     2.6e-56  186.8  18.4  -
Thermoplasmataceae        -          A0516_LKAP-FHGF1_D07_057 -               75     914      57     929      46     937    1471    +     3.5e-55  182.6  17.5  -
Cuniculiplasmataceae      -          A0516_LKAP-FHGF1_D07_057 -               75     910      57     929      37     937    1469    +     6.8e-55  182.0  17.9  -
Ferroplasmaceae           -          A0516_LKAP-FHGF1_D07_057 -               76     910      59     929      39     937    1442    +     8.6e-55  181.2  16.6  -
Methanosarcinaceae        -          A0516_LKAP-FHGF1_D07_057 -               66     911      45     929      25     937    1425    +     1.4e-54  180.2  17.1  -
Methanocellaceae          -          A0516_LKAP-FHGF1_D07_057 -               74     904      59     923      44     933    1440    +     7.6e-54  178.0  18.3  -
Thermoplasmatales         -          A0516_LKAP-FHGF1_D07_057 -               60     895      58     929      37     937    1370    +     7.8e-54  178.7  18.1  -
Nitrososphaeraceae        -          A0516_LKAP-FHGF1_D07_057 -               70     897      55     919      34     935    1470    +     9.6e-54  178.1  18.3  -
Fervidicoccaceae          -          A0516_LKAP-FHGF1_D07_057 -               80     930      56     920      35     936    1502    +     1.5e-53  177.5  18.1  -
Methermicoccaceae         -          A0516_LKAP-FHGF1_D07_057 -               31     869      59     926      39     936    1346    +     1.5e-53  177.6  17.6  -
Methanomassiliicoccaceae  -          A0516_LKAP-FHGF1_D07_057 -               75     909      59     931      39     938    1434    +     9.5e-53  174.9  18.0  -
Picrophilaceae            -          A0516_LKAP-FHGF1_D07_057 -               86     921      59     929      40     937    1479    +       4e-52  172.4  17.1  -
Halorubraceae             -          A0516_LKAP-FHGF1_D07_057 -               76     905      58     919      40     930    1470    +     1.9e-51  169.9  18.1  -
Halococcaceae             -          A0516_LKAP-FHGF1_D07_057 -              121     905     102     919      81     931    1474    +       1e-50  167.5  16.1  -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/A0516_LKAP-FHGF1_D07_057.fa
# Target file:     /root/Github/Database/Family_DB
# Option settings: nhmmscan --tblout /root/Github/Project_Mendel/Data/MSA_Scans_From_nhmmerscan/A0516_LKAP-FHGF1_D07_057.txt --noali /root/Github/Database/Family_DB /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/A0516_LKAP-FHGF1_D07_057.fa 
# Current dir:     /root/Github/Project_Mendel/source_code
# Date:            Mon Jun 22 10:04:32 2020
# [ok]
