# target name             accession  query name              accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------    -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP.g-Gut1_A10_080.seq -               27     976       6     957       2     958    1474    +           0 1110.4  20.0  -
Methanothermaceae         -          LKAP.g-Gut1_A10_080.seq -               77     922      62     938      42     949    1482    +     2.3e-75  249.7  20.2  -
Archaeoglobaceae          -          LKAP.g-Gut1_A10_080.seq -               71     912      61     936      40     948    1451    +     3.1e-74  245.7  20.9  -
Methanomicrobiaceae       -          LKAP.g-Gut1_A10_080.seq -               59     892      63     936      43     943    1420    +     8.3e-72  237.7  21.4  -
Sulfolobaceae             -          LKAP.g-Gut1_A10_080.seq -               67     911      61     924      40     938    1464    +     9.8e-72  237.2  22.1  -
Thermococcaceae           -          LKAP.g-Gut1_A10_080.seq -               49     911      44     938      24     949    1448    +     5.1e-71  235.3  21.4  -
Desulfurococcaceae        -          LKAP.g-Gut1_A10_080.seq -               70     932      56     936      36     949    1460    +       3e-69  229.4  21.5  -
Thermoproteaceae          -          LKAP.g-Gut1_A10_080.seq -               61     933      60     949      37     951    1471    +     1.2e-68  225.7  21.0  -
Methanomicrobiales        -          LKAP.g-Gut1_A10_080.seq -               70     908      64     940      43     949    1425    +     2.2e-66  219.4  20.5  -
Nostocaceae               -          LKAP.g-Gut1_A10_080.seq -                4     588     353     956     350     958    1476    +     2.4e-66  219.9   9.7  -
Pyrodictiaceae            -          LKAP.g-Gut1_A10_080.seq -               80     935      60     936      40     949    1497    +     4.9e-66  218.7  22.6  -
Acidilobaceae             -          LKAP.g-Gut1_A10_080.seq -               76     935      59     936      39     949    1451    +     7.1e-65  214.6  21.0  -
Halobacteriaceae          -          LKAP.g-Gut1_A10_080.seq -               76     916      62     935      42     949    1474    +     8.3e-64  210.8  21.6  -
Methanospirillaceae       -          LKAP.g-Gut1_A10_080.seq -               27     849      63     924      43     944    1378    +     8.6e-63  207.6  20.9  -
Thermofilaceae            -          LKAP.g-Gut1_A10_080.seq -               95     962      63     949      43     950    1513    +     1.1e-62  207.4  20.6  -
Methanopyraceae           -          LKAP.g-Gut1_A10_080.seq -               74     963      51     949      30     952    1512    +     2.3e-62  207.0  20.0  -
Natrialbaceae             -          LKAP.g-Gut1_A10_080.seq -               90     917      76     936      55     945    1474    +     2.5e-60  199.2  20.8  -
Haloarculaceae            -          LKAP.g-Gut1_A10_080.seq -               77     916      63     936      43     950    1473    +     2.6e-60  199.4  21.3  -
Methanocorpusculaceae     -          LKAP.g-Gut1_A10_080.seq -               72     904      64     936      44     947    1421    +     2.5e-59  196.0  20.1  -
Methanotrichaceae         -          LKAP.g-Gut1_A10_080.seq -               75     925      64     948      44     950    1423    +     5.8e-57  188.1  19.4  -
Haloferacaceae            -          LKAP.g-Gut1_A10_080.seq -               77     917      63     936      43     952    1474    +       1e-56  187.1  20.2  -
Thermoplasmataceae        -          LKAP.g-Gut1_A10_080.seq -               75     917      61     938      41     949    1471    +     1.7e-56  187.0  20.0  -
Caldisphaeraceae          -          LKAP.g-Gut1_A10_080.seq -               64     932      62     946      42     951    1466    +     4.7e-56  186.0  20.4  -
Cuniculiplasmataceae      -          LKAP.g-Gut1_A10_080.seq -               75     920      61     945      41     951    1469    +       1e-55  184.8  19.8  -
Ferroplasmaceae           -          LKAP.g-Gut1_A10_080.seq -               77     913      64     938      48     949    1442    +     6.2e-55  181.8  18.0  -
Methanosarcinaceae        -          LKAP.g-Gut1_A10_080.seq -               74     912      64     936      44     949    1425    +     1.1e-54  180.5  20.2  -
Thermoplasmatales         -          LKAP.g-Gut1_A10_080.seq -               59     905      61     945      41     951    1370    +     4.7e-54  179.5  20.3  -
Methermicoccaceae         -          LKAP.g-Gut1_A10_080.seq -               17     876      36     939      22     950    1346    +     7.1e-54  178.8  20.2  -
Methanocellaceae          -          LKAP.g-Gut1_A10_080.seq -               74     911      63     936      43     949    1440    +     3.8e-53  175.7  20.0  -
Fervidicoccaceae          -          LKAP.g-Gut1_A10_080.seq -               79     953      59     949      38     952    1502    +     1.4e-52  174.3  19.7  -
Nitrososphaeraceae        -          LKAP.g-Gut1_A10_080.seq -               57     921      48     948      28     951    1470    +     4.5e-52  172.6  20.0  -
Halorubraceae             -          LKAP.g-Gut1_A10_080.seq -               78     916      64     936      44     948    1470    +     3.3e-51  169.1  20.2  -
Halococcaceae             -          LKAP.g-Gut1_A10_080.seq -              105     916      90     936      69     948    1474    +     7.4e-51  168.0  19.0  -
Methanomassiliicoccaceae  -          LKAP.g-Gut1_A10_080.seq -               75     917      63     945      42     951    1434    +     1.8e-50  167.4  19.8  -
Picrophilaceae            -          LKAP.g-Gut1_A10_080.seq -               85     925      62     939      41     949    1479    +     4.2e-50  165.8  19.7  -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP.g-Gut1_A10_080.seq.fa
# Target file:     /root/Github/Database/Family_DB
# Option settings: nhmmscan --tblout /root/Github/Project_Mendel/Data/MSA_Scans_From_nhmmerscan/LKAP.g-Gut1_A10_080.seq.txt --noali /root/Github/Database/Family_DB /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP.g-Gut1_A10_080.seq.fa 
# Current dir:     /root/Github/Project_Mendel/source_code
# Date:            Mon Jun 22 11:18:53 2020
# [ok]
