# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_F12_086   -               12     935       6     924       1     924    1474    +           0 1126.4  26.7  -
Ferrimonadaceae           -          LKAP-GutHK_F12_086   -               11     935       5     924       1     924    1475    +           0 1029.6  26.6  -
Cuniculiplasmataceae      -          LKAP-GutHK_F12_086   -               75     889      73     922      53     924    1469    +     5.9e-60  198.8  23.1  -
Picrophilaceae            -          LKAP-GutHK_F12_086   -               86     881      75     904      54     923    1479    +     1.3e-59  197.3  21.9  -
Halorubraceae             -          LKAP-GutHK_F12_086   -               79     895      77     923      63     924    1470    +     1.3e-58  193.6  23.3  -
Thermoplasmatales         -          LKAP-GutHK_F12_086   -               59     874      73     922      53     924    1370    +     1.4e-58  194.4  23.5  -
Methanocellaceae          -          LKAP-GutHK_F12_086   -               74     890      75     923      55     924    1440    +     3.2e-58  192.4  23.6  -
Fervidicoccaceae          -          LKAP-GutHK_F12_086   -               77     919      69     923      49     924    1502    +       5e-58  192.3  24.2  -
Methermicoccaceae         -          LKAP-GutHK_F12_086   -               22     852      66     923      46     924    1346    +     9.7e-58  191.5  23.7  -
Nitrososphaeraceae        -          LKAP-GutHK_F12_086   -               72     887      73     922      52     924    1470    +     1.1e-57  191.1  23.8  -
Halococcaceae             -          LKAP-GutHK_F12_086   -              104     895     101     923      81     924    1474    +     5.1e-57  188.4  21.0  -
Methanomassiliicoccaceae  -          LKAP-GutHK_F12_086   -               75     886      75     922      55     924    1434    +     1.1e-54  181.3  22.7  -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP-GutHK_F12_086.fa
# Target file:     /root/Github/Database/Family_DB
# Option settings: nhmmscan --tblout /root/Github/Project_Mendel/Data/MSA_Scans_From_nhmmerscan/LKAP-GutHK_F12_086.txt --noali /root/Github/Database/Family_DB /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP-GutHK_F12_086.fa 
# Current dir:     /root/Github/Project_Mendel/source_code
# Date:            Mon Jun 22 10:58:42 2020
# [ok]
