# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GUTHK2_G01_003_2017_1 -               27    1030      18    1003       4    1014    1474    +           0 1069.9  18.3  -
Spartobacteria            -          LKAP-GUTHK2_G01_003_2017_1 -               25     954      18     960       1     980    1418    +    2.1e-122  405.5  20.2  -
Oligosphaeraceae          -          LKAP-GUTHK2_G01_003_2017_1 -               60     949      66     967      45     990    1434    +    2.2e-122  405.3  18.1  -
Fimbriimonadaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               63     958      66     979      45    1000    1443    +    7.5e-122  403.6  17.9  -
Ktedonobacteraceae        -          LKAP-GUTHK2_G01_003_2017_1 -               44     921      55     960      32     980    1386    +    2.2e-121  402.3  19.0  -
Thermonemataceae          -          LKAP-GUTHK2_G01_003_2017_1 -               20     952      20     954       5     975    1465    +    5.1e-121  401.0  19.9  -
Simkaniaceae              -          LKAP-GUTHK2_G01_003_2017_1 -               83    1019      65     979      43     999    1545    +    4.2e-120  397.8  18.5  -
Chthonomonadaceae         -          LKAP-GUTHK2_G01_003_2017_1 -                6     950      23     978      19     997    1411    +      8e-119  393.7  18.9  -
Lentimicrobiaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               62     957      54     954      27     975    1446    +    8.1e-119  393.5  19.6  -
Soortiaceae               -          LKAP-GUTHK2_G01_003_2017_1 -               84     990      60     952      31     973    1516    +    1.9e-118  392.3  19.8  -
Filobacteriaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               86     983      61     960      39     981    1521    +    3.6e-118  391.3  19.4  -
Schleiferiaceae           -          LKAP-GUTHK2_G01_003_2017_1 -               47     976      19     954       4     975    1499    +      3e-117  388.6  19.9  -
Balneicellaceae           -          LKAP-GUTHK2_G01_003_2017_1 -               31     968      18     953       4     978    1505    +    3.3e-116  384.9  19.8  -
Roseiflexaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               78     945      64     958      43     978    1469    +    5.6e-116  384.6  19.0  -
Waddliaceae               -          LKAP-GUTHK2_G01_003_2017_1 -               68    1012      44     959      24     979    1557    +      2e-114  379.1  19.3  -
Chloroflexales            -          LKAP-GUTHK2_G01_003_2017_1 -               55     932      66     960      44     980    1355    +    3.1e-106  352.5  20.2  -
Phycisphaeraceae          -          LKAP-GUTHK2_G01_003_2017_1 -               60     940      62     960      36     980    1461    +    1.3e-103  343.5  18.4  -
Tepidisphaeraceae         -          LKAP-GUTHK2_G01_003_2017_1 -               74     957      62     963      39     983    1491    +    2.1e-103  342.8  18.9  -
Methanocaldococcaceae     -          LKAP-GUTHK2_G01_003_2017_1 -               74     896      59     913      31     931    1429    +     5.5e-82  271.9  20.1  -
Methanococcaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               70     879      69     913      51     928    1410    +     6.1e-76  251.5  20.6  -
Methanobacteriaceae       -          LKAP-GUTHK2_G01_003_2017_1 -               53     865      67     910      47     926    1403    +     2.9e-73  242.5  19.9  -
Methanothermaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               77     895      67     913      47     933    1482    +     4.1e-69  229.1  20.8  -
Sulfolobaceae             -          LKAP-GUTHK2_G01_003_2017_1 -               66     889      65     905      46     921    1464    +     1.4e-68  226.9  21.0  -
Methanoregulaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               55     864      68     914      48     934    1413    +     1.5e-67  223.4  20.8  -
Archaeoglobaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               71     887      66     913      45     930    1451    +       4e-66  218.9  20.9  -
Desulfurococcaceae        -          LKAP-GUTHK2_G01_003_2017_1 -               75     902      66     908      50     924    1460    +     1.1e-65  217.6  22.0  -
Methanomicrobiaceae       -          LKAP-GUTHK2_G01_003_2017_1 -               59     867      68     913      52     934    1420    +     2.9e-65  216.1  21.6  -
Thermoproteaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               61     889      65     910      45     924    1471    +     4.2e-64  210.7  21.7  -
Thermococcaceae           -          LKAP-GUTHK2_G01_003_2017_1 -               66     879      66     908      46     927    1448    +     6.2e-64  211.9  21.4  -
Acidilobaceae             -          LKAP-GUTHK2_G01_003_2017_1 -               78     909      66     912      53     925    1451    +     7.5e-63  208.0  21.7  -
Pyrodictiaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               80     908      65     911      50     925    1497    +     1.3e-62  207.4  23.1  -
Methanomicrobiales        -          LKAP-GUTHK2_G01_003_2017_1 -               70     878      69     914      48     934    1425    +     1.1e-60  200.7  21.5  -
Nostocaceae               -          LKAP-GUTHK2_G01_003_2017_1 -                4     626     358     985     355    1005    1476    +     6.1e-59  195.5  10.1  -
Thermofilaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               95     919      68     911      64     927    1513    +       1e-58  194.3  22.1  -
Halobacteriaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               73     883      64     904      44     924    1474    +     4.2e-58  192.0  21.3  -
Methanopyraceae           -          LKAP-GUTHK2_G01_003_2017_1 -               86     931      67     918      46     942    1512    +     4.2e-57  189.7  21.7  -
Methanospirillaceae       -          LKAP-GUTHK2_G01_003_2017_1 -               27     836      68     914      50     934    1378    +     3.8e-56  185.6  21.6  -
Natrialbaceae             -          LKAP-GUTHK2_G01_003_2017_1 -               86     884      77     905      53     925    1474    +     7.1e-55  181.2  21.1  -
Haloarculaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               76     886      67     908      46     928    1473    +     2.5e-54  179.6  21.5  -
Caldisphaeraceae          -          LKAP-GUTHK2_G01_003_2017_1 -               63     896      66     913      46     933    1466    +     1.9e-52  174.2  20.0  -
Haloferacaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               76     883      67     904      47     925    1474    +       6e-51  168.1  20.7  -
Methanocorpusculaceae     -          LKAP-GUTHK2_G01_003_2017_1 -               72     879      69     913      48     933    1421    +     8.4e-50  164.5  21.2  -
Nitrososphaeraceae        -          LKAP-GUTHK2_G01_003_2017_1 -               70     881      64     913      43     936    1470    +     1.4e-49  164.4  20.4  -
Fervidicoccaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               80     915      65     913      44     933    1502    +     4.4e-49  162.8  21.2  -
Methanotrichaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               75     889      69     914      49     934    1423    +     4.9e-49  162.0  20.5  -
Cuniculiplasmataceae      -          LKAP-GUTHK2_G01_003_2017_1 -               75     887      66     914      46     937    1469    +     6.3e-49  162.4  19.8  -
Thermoplasmataceae        -          LKAP-GUTHK2_G01_003_2017_1 -               75     890      66     913      55     933    1471    +     3.9e-48  159.4  20.2  -
Ferroplasmaceae           -          LKAP-GUTHK2_G01_003_2017_1 -               76     890      68     918      38     937    1442    +     4.4e-48  159.1  19.2  -
Thermoplasmatales         -          LKAP-GUTHK2_G01_003_2017_1 -               60     875      67     916      46     941    1370    +     7.7e-48  159.0  20.4  -
Methanosarcinaceae        -          LKAP-GUTHK2_G01_003_2017_1 -               66     887      54     913      36     933    1425    +     7.8e-47  154.6  20.6  -
Methermicoccaceae         -          LKAP-GUTHK2_G01_003_2017_1 -               31     849      68     914      48     937    1346    +     1.7e-46  154.5  20.3  -
Methanocellaceae          -          LKAP-GUTHK2_G01_003_2017_1 -               74     886      68     913      48     934    1440    +     3.8e-46  152.6  21.0  -
Halorubraceae             -          LKAP-GUTHK2_G01_003_2017_1 -               76     883      67     905      47     925    1470    +     1.2e-45  150.8  20.8  -
Halococcaceae             -          LKAP-GUTHK2_G01_003_2017_1 -              104     883      94     905      74     927    1474    +     6.5e-45  148.4  19.5  -
Picrophilaceae            -          LKAP-GUTHK2_G01_003_2017_1 -               86     901      68     918      55     938    1479    +     5.7e-44  145.5  19.8  -
Methanomassiliicoccaceae  -          LKAP-GUTHK2_G01_003_2017_1 -               75     883      68     913      48     934    1434    +     9.2e-44  145.3  19.9  -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP-GUTHK2_G01_003_2017_1.fa
# Target file:     /root/Github/Database/Family_DB
# Option settings: nhmmscan --tblout /root/Github/Project_Mendel/Data/MSA_Scans_From_nhmmerscan/LKAP-GUTHK2_G01_003_2017_1.txt --noali /root/Github/Database/Family_DB /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP-GUTHK2_G01_003_2017_1.fa 
# Current dir:     /root/Github/Project_Mendel/source_code
# Date:            Mon Jun 22 10:29:14 2020
# [ok]
