# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_D12_090   -               27     940      17     929       2     929    1474    +           0 1122.5  24.5  -
Ferrimonadaceae           -          LKAP-GutHK_D12_090   -               22     940      14     929       2     929    1475    +    8.1e-304 1006.1  24.7  -
Methanosarcinaceae        -          LKAP-GutHK_D12_090   -               74     897      75     929      55     929    1425    +     4.1e-62  205.1  21.3  -
Methanocellaceae          -          LKAP-GutHK_D12_090   -               74     896      74     929      54     929    1440    +     1.4e-61  203.6  20.9  -
Fervidicoccaceae          -          LKAP-GutHK_D12_090   -               78     924      69     928      48     929    1502    +     1.7e-61  203.8  23.0  -
Halorubraceae             -          LKAP-GutHK_D12_090   -               77     901      74     929      53     929    1470    +     6.4e-61  201.3  22.0  -
Picrophilaceae            -          LKAP-GutHK_D12_090   -               86     907      74     929      64     929    1479    +     7.6e-61  201.3  21.0  -
Thermoplasmatales         -          LKAP-GutHK_D12_090   -               60     881      73     929      52     929    1370    +     2.9e-60  200.0  21.7  -
Methermicoccaceae         -          LKAP-GutHK_D12_090   -               22     857      65     928      44     929    1346    +     6.2e-59  195.5  21.8  -
Nitrososphaeraceae        -          LKAP-GutHK_D12_090   -               67     893      67     928      46     929    1470    +     7.6e-59  194.9  21.4  -
Halococcaceae             -          LKAP-GutHK_D12_090   -               90     901      87     929      65     929    1474    +     2.5e-58  192.8  20.9  -
Methanomassiliicoccaceae  -          LKAP-GutHK_D12_090   -               75     892      74     928      54     929    1434    +     2.8e-56  186.6  21.6  -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP-GutHK_D12_090.fa
# Target file:     /root/Github/Database/Family_DB
# Option settings: nhmmscan --tblout /root/Github/Project_Mendel/Data/MSA_Scans_From_nhmmerscan/LKAP-GutHK_D12_090.txt --noali /root/Github/Database/Family_DB /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP-GutHK_D12_090.fa 
# Current dir:     /root/Github/Project_Mendel/source_code
# Date:            Mon Jun 22 10:54:56 2020
# [ok]
