# target name             accession  query name              accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------    -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Pseudoalteromonadaceae    -          LKAP.g-Gut1_E11_087.seq -               27    1022       6    1010       3    1011    1469    +           0 1032.0  11.3  -
Vibrionaceae              -          LKAP.g-Gut1_E11_087.seq -               27    1036       6    1010       2    1011    1474    +    8.4e-305 1009.6  12.0  -
Balneicellaceae           -          LKAP.g-Gut1_E11_087.seq -               67     968      47     948      22     970    1505    +    1.7e-116  385.8  12.9  -
Spartobacteria            -          LKAP.g-Gut1_E11_087.seq -               64     954      52     955      21     978    1418    +    9.1e-116  383.5  12.7  -
Phycisphaeraceae          -          LKAP.g-Gut1_E11_087.seq -               56     940      52     955      28     978    1461    +      3e-113  375.4  12.4  -
Chloroflexales            -          LKAP.g-Gut1_E11_087.seq -               54     934      59     957      38     977    1355    +    3.5e-111  368.9  12.9  -
Tepidisphaeraceae         -          LKAP.g-Gut1_E11_087.seq -               77     975      59     976      38     996    1491    +    5.1e-109  361.3  11.7  -
Methanococcaceae          -          LKAP.g-Gut1_E11_087.seq -               69     900      62     923      33     935    1410    +     1.2e-80  267.0  13.9  -
Methanocaldococcaceae     -          LKAP.g-Gut1_E11_087.seq -               71     920      50     926      30     941    1429    +     1.9e-80  266.8  13.4  -
Methanobacteriaceae       -          LKAP.g-Gut1_E11_087.seq -               53     889      61     923      40     941    1403    +     5.6e-72  238.2  13.2  -
Methanoregulaceae         -          LKAP.g-Gut1_E11_087.seq -               55     897      62     937      47     952    1413    +     3.4e-69  228.9  13.6  -
Methanomicrobiaceae       -          LKAP.g-Gut1_E11_087.seq -               59     888      62     923      41     942    1420    +     1.1e-67  224.1  14.4  -
Sulfolobaceae             -          LKAP.g-Gut1_E11_087.seq -               67     912      60     917      40     937    1464    +     7.9e-67  221.1  14.7  -
Nostocaceae               -          LKAP.g-Gut1_E11_087.seq -                4     615     351     975     348    1007    1476    +     1.9e-66  220.3   5.8  -
Archaeoglobaceae          -          LKAP.g-Gut1_E11_087.seq -               70     912      59     927      35     941    1451    +     2.7e-66  219.5  14.1  -
Methanothermaceae         -          LKAP.g-Gut1_E11_087.seq -               77     929      61     937      42     942    1482    +     1.2e-65  217.6  13.9  -
Desulfurococcaceae        -          LKAP.g-Gut1_E11_087.seq -               73     924      58     919      39     940    1460    +     5.5e-65  215.3  15.2  -
Methanomicrobiales        -          LKAP.g-Gut1_E11_087.seq -               69     899      62     924      42     942    1425    +     9.2e-64  210.9  13.4  -
Thermococcaceae           -          LKAP.g-Gut1_E11_087.seq -               61     918      55     937      35     942    1448    +       1e-63  211.2  14.0  -
Thermoproteaceae          -          LKAP.g-Gut1_E11_087.seq -               52     933      53     941      33     944    1471    +     3.2e-63  207.8  14.4  -
Acidilobaceae             -          LKAP.g-Gut1_E11_087.seq -               77     932      59     924      48     941    1451    +     1.1e-60  200.8  14.7  -
Pyrodictiaceae            -          LKAP.g-Gut1_E11_087.seq -               80     933      59     925      47     942    1497    +     1.3e-59  197.4  15.6  -
Methanospirillaceae       -          LKAP.g-Gut1_E11_087.seq -               27     851      62     918      42     939    1378    +     6.1e-58  191.6  14.7  -
Thermofilaceae            -          LKAP.g-Gut1_E11_087.seq -               95     962      62     941      49     943    1513    +     6.6e-57  188.3  14.6  -
Halobacteriaceae          -          LKAP.g-Gut1_E11_087.seq -               76     908      61     918      41     939    1474    +     6.4e-56  184.8  13.9  -
Methanopyraceae           -          LKAP.g-Gut1_E11_087.seq -               76     963      51     941      31     961    1512    +     9.1e-56  185.2  13.3  -
Methanocorpusculaceae     -          LKAP.g-Gut1_E11_087.seq -               71     902      62     925      42     944    1421    +     3.4e-55  182.4  14.8  -
Caldisphaeraceae          -          LKAP.g-Gut1_E11_087.seq -               64     926      61     932      41     953    1466    +     6.7e-55  182.3  13.3  -
Fervidicoccaceae          -          LKAP.g-Gut1_E11_087.seq -               80     986      59     975      39     995    1502    +     4.1e-54  179.4  12.6  -
Haloarculaceae            -          LKAP.g-Gut1_E11_087.seq -               76     909      61     920      43     943    1473    +     3.2e-53  175.9  13.4  -
Natrialbaceae             -          LKAP.g-Gut1_E11_087.seq -               79     909      64     919      44     940    1474    +     4.5e-52  171.9  13.1  -
Cuniculiplasmataceae      -          LKAP.g-Gut1_E11_087.seq -               75     920      60     937      40     957    1469    +     6.6e-52  172.3  12.8  -
Haloferacaceae            -          LKAP.g-Gut1_E11_087.seq -               76     911      61     921      41     942    1474    +     3.2e-51  169.0  13.4  -
Methanosarcinaceae        -          LKAP.g-Gut1_E11_087.seq -               49     921      39     937      26     943    1425    +     1.8e-49  163.4  14.6  -
Nitrososphaeraceae        -          LKAP.g-Gut1_E11_087.seq -               71     921      59     940      38     961    1470    +     2.6e-49  163.5  12.8  -
Methanotrichaceae         -          LKAP.g-Gut1_E11_087.seq -               75     926      63     941      43     946    1423    +     5.6e-49  161.8  12.9  -
Methanomassiliicoccaceae  -          LKAP.g-Gut1_E11_087.seq -               75     916      62     935      41     957    1434    +     9.9e-49  161.7  12.4  -
Thermoplasmataceae        -          LKAP.g-Gut1_E11_087.seq -               75     923      60     936      45     944    1471    +     1.1e-48  161.2  13.9  -
Thermoplasmatales         -          LKAP.g-Gut1_E11_087.seq -               59     905      60     937      40     958    1370    +     5.9e-48  159.4  13.3  -
Methermicoccaceae         -          LKAP.g-Gut1_E11_087.seq -               27     881      58     935      36     955    1346    +     1.3e-47  158.1  13.2  -
Methanocellaceae          -          LKAP.g-Gut1_E11_087.seq -               74     911      62     927      42     942    1440    +       1e-46  154.5  13.9  -
Ferroplasmaceae           -          LKAP.g-Gut1_E11_087.seq -               76     920      62     937      50     957    1442    +     1.7e-46  153.9  12.9  -
Halorubraceae             -          LKAP.g-Gut1_E11_087.seq -               77     908      62     919      47     940    1470    +     1.3e-45  150.7  13.3  -
Halococcaceae             -          LKAP.g-Gut1_E11_087.seq -               90     909      75     920      53     941    1474    +     9.4e-45  147.9  12.7  -
Picrophilaceae            -          LKAP.g-Gut1_E11_087.seq -               85     930      61     936      45     945    1479    +     4.2e-42  139.3  13.3  -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP.g-Gut1_E11_087.seq.fa
# Target file:     /root/Github/Database/Family_DB
# Option settings: nhmmscan --tblout /root/Github/Project_Mendel/Data/MSA_Scans_From_nhmmerscan/LKAP.g-Gut1_E11_087.seq.txt --noali /root/Github/Database/Family_DB /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP.g-Gut1_E11_087.seq.fa 
# Current dir:     /root/Github/Project_Mendel/source_code
# Date:            Mon Jun 22 11:27:21 2020
# [ok]
