# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Alcaligenaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               25     919      19     918       6     918    1467    +           0 1063.1  17.9  -
Chitinivibrionaceae       -          LKAP-TSAKG2_D07_057_2018_2 -               33     929      19     913       6     918    1488    +    2.5e-124  411.7  17.3  -
Prochlorotrichaceae       -          LKAP-TSAKG2_D07_057_2018_2 -               13     851      20     914       9     918    1448    +    2.5e-124  411.6  17.1  -
Mzabimycetaceae           -          LKAP-TSAKG2_D07_057_2018_2 -               12     836      65     912      57     918    1357    +    2.7e-124  411.6  18.7  -
Longimicrobiaceae         -          LKAP-TSAKG2_D07_057_2018_2 -                8     875      59     913      52     918    1413    +      2e-122  405.6  18.0  -
Ichthyobacteriaceae       -          LKAP-TSAKG2_D07_057_2018_2 -               45     934      19     913       6     918    1521    +    2.3e-122  405.2  18.1  -
Kiritimatiellaceae        -          LKAP-TSAKG2_D07_057_2018_2 -               46     963      20     913       6     918    1556    +    2.1e-121  402.0  18.0  -
Roseiflexaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               42     891      16     911       6     917    1469    +    6.4e-121  400.8  17.6  -
Oligosphaeraceae          -          LKAP-TSAKG2_D07_057_2018_2 -               30     886      24     913      10     918    1434    +    3.1e-120  398.1  17.4  -
Chthonomonadaceae         -          LKAP-TSAKG2_D07_057_2018_2 -                2     879      23     913      22     918    1411    +    8.5e-116  383.6  18.8  -
Phycisphaeraceae          -          LKAP-TSAKG2_D07_057_2018_2 -               20     885      14     913       6     918    1461    +    5.6e-115  381.0  17.2  -
Chloroflexales            -          LKAP-TSAKG2_D07_057_2018_2 -               16     876      15     911       6     917    1355    +    6.4e-115  381.1  19.1  -
Tepidisphaeraceae         -          LKAP-TSAKG2_D07_057_2018_2 -               37     900      11     913       4     918    1491    +    1.3e-112  373.1  17.8  -
Waddliaceae               -          LKAP-TSAKG2_D07_057_2018_2 -               48     958      16     912       6     917    1557    +    5.1e-112  371.1  17.5  -
Balneicellaceae           -          LKAP-TSAKG2_D07_057_2018_2 -               30     918      20     910       7     917    1505    +    7.2e-112  370.4  17.8  -
Methanocaldococcaceae     -          LKAP-TSAKG2_D07_057_2018_2 -               66     888      54     907      33     914    1429    +       2e-84  279.8  17.8  -
Methanococcaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               68     874      69     910      49     915    1410    +     2.4e-81  269.3  17.0  -
Methanobacteriaceae       -          LKAP-TSAKG2_D07_057_2018_2 -               22     865      18     912      11     916    1403    +     7.7e-75  247.5  16.6  -
Methanothermaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               45     892      16     912      11     916    1482    +     3.4e-73  242.5  17.0  -
Desulfurococcaceae        -          LKAP-TSAKG2_D07_057_2018_2 -               36     896      13     904       7     912    1460    +     5.7e-72  238.3  17.3  -
Thermoproteaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               23     875      13     896       7     912    1471    +     4.9e-71  233.6  18.5  -
Sulfolobaceae             -          LKAP-TSAKG2_D07_057_2018_2 -               46     886      51     904      31     912    1464    +     6.4e-70  231.2  17.1  -
Thermococcaceae           -          LKAP-TSAKG2_D07_057_2018_2 -               53     865      55     897      34     913    1448    +     2.5e-69  229.6  18.1  -
Archaeoglobaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               25     879      16     907       9     915    1451    +     4.2e-69  228.6  17.4  -
Thermofilaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               96     914      71     905      50     914    1513    +     5.7e-67  221.6  17.8  -
Methanomicrobiaceae       -          LKAP-TSAKG2_D07_057_2018_2 -               41     864      42     912      22     916    1420    +     1.8e-66  219.9  17.0  -
Methanoregulaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               56     860      71     912      51     916    1413    +     5.1e-66  218.2  16.8  -
Acidilobaceae             -          LKAP-TSAKG2_D07_057_2018_2 -               77     901      67     906      47     914    1451    +     2.2e-64  213.0  17.0  -
Pyrodictiaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               64     899      55     904      38     914    1497    +     1.1e-63  210.8  18.1  -
Methanopyraceae           -          LKAP-TSAKG2_D07_057_2018_2 -               44     922      15     912       6     917    1512    +     4.6e-61  202.6  18.3  -
Halobacteriaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               75     885      68     908      45     914    1474    +     1.1e-58  193.8  16.7  -
Methanospirillaceae       -          LKAP-TSAKG2_D07_057_2018_2 -               28     832      71     912      51     915    1378    +     1.5e-57  190.2  16.5  -
Nitrososphaeraceae        -          LKAP-TSAKG2_D07_057_2018_2 -               70     875      66     906      45     915    1470    +     3.9e-57  189.3  16.3  -
Caldisphaeraceae          -          LKAP-TSAKG2_D07_057_2018_2 -               52     888      57     907      34     916    1466    +     7.9e-57  188.5  17.1  -
Nostocaceae               -          LKAP-TSAKG2_D07_057_2018_2 -                4     542     362     914     359     918    1476    +     1.1e-56  187.8   8.5  -
Methanomicrobiales        -          LKAP-TSAKG2_D07_057_2018_2 -               80     873      81     911      56     915    1425    +     5.9e-56  184.8  17.3  -
Haloferacaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               76     885      69     908      29     914    1474    +     7.8e-56  184.1  16.6  -
Fervidicoccaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               70     906      57     906      34     916    1502    +     2.9e-55  183.1  16.9  -
Haloarculaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               76     886      69     910      45     915    1473    +       2e-54  179.8  16.6  -
Natrialbaceae             -          LKAP-TSAKG2_D07_057_2018_2 -               77     885      70     908      49     915    1474    +     2.2e-54  179.5  16.2  -
Methanocellaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               75     882      71     911      50     915    1440    +     1.6e-53  176.8  16.5  -
Methanosarcinaceae        -          LKAP-TSAKG2_D07_057_2018_2 -               73     879      70     907      50     914    1425    +     3.1e-52  172.4  16.6  -
Methermicoccaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               15     844      54     911      42     916    1346    +       4e-52  172.9  17.0  -
Methanotrichaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               73     883      69     910      46     915    1423    +     9.6e-51  167.5  17.4  -
Halorubraceae             -          LKAP-TSAKG2_D07_057_2018_2 -               49     884      20     908      14     915    1470    +     2.5e-50  166.1  16.0  -
Methanocorpusculaceae     -          LKAP-TSAKG2_D07_057_2018_2 -               77     875      76     911      52     915    1421    +     1.7e-49  163.4  14.9  -
Cuniculiplasmataceae      -          LKAP-TSAKG2_D07_057_2018_2 -               77     871      70     900      49     915    1469    +       1e-48  161.6  16.1  -
Picrophilaceae            -          LKAP-TSAKG2_D07_057_2018_2 -              129     879     112     897      80     912    1479    +     4.1e-47  155.8  15.4  -
Thermoplasmatales         -          LKAP-TSAKG2_D07_057_2018_2 -               61     856      70     900      49     915    1370    +     1.6e-45  151.2  17.2  -
Thermoplasmataceae        -          LKAP-TSAKG2_D07_057_2018_2 -               77     872      70     897      49     912    1471    +     6.9e-45  148.5  16.4  -
Halococcaceae             -          LKAP-TSAKG2_D07_057_2018_2 -              121     885     113     909      82     915    1474    +     5.9e-44  145.1  14.7  -
Methanomassiliicoccaceae  -          LKAP-TSAKG2_D07_057_2018_2 -               76     868      71     900      50     915    1434    +     2.3e-43  143.9  16.5  -
Ferroplasmaceae           -          LKAP-TSAKG2_D07_057_2018_2 -              120     868     113     897      83     912    1442    +     2.6e-43  143.2  14.6  -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP-TSAKG2_D07_057_2018_2.fa
# Target file:     /root/Github/Database/Family_DB
# Option settings: nhmmscan --tblout /root/Github/Project_Mendel/Data/MSA_Scans_From_nhmmerscan/LKAP-TSAKG2_D07_057_2018_2.txt --noali /root/Github/Database/Family_DB /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP-TSAKG2_D07_057_2018_2.fa 
# Current dir:     /root/Github/Project_Mendel/source_code
# Date:            Mon Jun 22 11:13:26 2020
# [ok]
