# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GUTHK2_D08_058_2017_1 -               18    1119      10    1091       2    1100    1474    +           0 1121.9  10.8  -
Catalimonadaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               14    1078      17    1084       5    1096    1425    +    6.2e-137  453.7  10.8  -
Armatimonadaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               28    1071      20    1077       1    1096    1438    +    8.2e-137  453.2  10.6  -
Brevinemataceae           -          LKAP-GUTHK2_D08_058_2017_1 -               43    1107      15    1086       2    1098    1490    +      1e-136  452.9  10.4  -
Kiritimatiellaceae        -          LKAP-GUTHK2_D08_058_2017_1 -               35    1146       7    1085       1    1099    1556    +    2.9e-136  451.4  10.9  -
Aquificales               -          LKAP-GUTHK2_D08_058_2017_1 -                3    1130       5    1085       3    1097    1450    +      3e-136  451.5  10.9  -
Mzabimycetaceae           -          LKAP-GUTHK2_D08_058_2017_1 -               10    1031      60    1096      53    1100    1357    +      5e-135  447.4  11.5  -
Blastocatellales          -          LKAP-GUTHK2_D08_058_2017_1 -               41    1062      13    1071       2    1092    1488    +    1.7e-133  442.2  11.0  -
Chitinivibrionaceae       -          LKAP-GUTHK2_D08_058_2017_1 -               35    1117      18    1086       2    1098    1488    +    3.1e-133  441.4  10.5  -
Elusimicrobiaceae         -          LKAP-GUTHK2_D08_058_2017_1 -                7    1070      19    1086      14    1098    1395    +    3.3e-133  441.2  10.1  -
Soortiaceae               -          LKAP-GUTHK2_D08_058_2017_1 -               92    1115      65    1074      30    1094    1516    +    1.6e-132  438.9  10.9  -
Verrucomicrobiales        -          LKAP-GUTHK2_D08_058_2017_1 -               42    1081      64    1075      44    1094    1410    +    8.1e-132  437.1  11.0  -
Spirochaetales            -          LKAP-GUTHK2_D08_058_2017_1 -               24    1095      15    1091       3    1099    1456    +    9.1e-132  436.5  10.1  -
Simkaniaceae              -          LKAP-GUTHK2_D08_058_2017_1 -               83    1121      64    1075      40    1095    1545    +    1.1e-131  436.3  10.5  -
Ktedonobacteraceae        -          LKAP-GUTHK2_D08_058_2017_1 -               45    1036      55    1073      30    1093    1386    +    1.1e-131  436.4  10.7  -
Lentimicrobiaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               34    1098      24    1090       4    1099    1446    +    1.2e-131  436.0  10.5  -
Ichthyobacteriaceae       -          LKAP-GUTHK2_D08_058_2017_1 -               47    1120      18    1089       4    1100    1521    +    5.2e-131  434.1  10.6  -
Thermonemataceae          -          LKAP-GUTHK2_D08_058_2017_1 -               18    1087      18    1085       3    1099    1465    +    1.7e-130  432.5  10.7  -
Oligosphaeraceae          -          LKAP-GUTHK2_D08_058_2017_1 -               60    1074      65    1089      44    1099    1434    +    2.7e-130  431.7  10.2  -
Filobacteriaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               41    1123      14    1093       3    1100    1521    +      2e-129  428.7  10.6  -
Schleiferiaceae           -          LKAP-GUTHK2_D08_058_2017_1 -               39    1109      12    1082       2    1094    1499    +    5.8e-129  427.5  11.0  -
Thermoflexaceae           -          LKAP-GUTHK2_D08_058_2017_1 -               10    1072      14    1072       5    1092    1466    +    7.7e-129  427.2  11.4  -
Balneicellaceae           -          LKAP-GUTHK2_D08_058_2017_1 -               31    1104      18    1086       3    1099    1505    +    1.2e-128  426.2  10.3  -
Spartobacteria            -          LKAP-GUTHK2_D08_058_2017_1 -               12    1076       6    1071       2    1092    1418    +    2.1e-128  425.4  11.4  -
Fimbriimonadaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               63    1067      65    1077      44    1096    1443    +    2.1e-126  418.8  10.2  -
Roseiflexaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               78    1061      63    1072      41    1092    1469    +    5.7e-126  417.8  10.5  -
Waddliaceae               -          LKAP-GUTHK2_D08_058_2017_1 -               66    1143      41    1085      21    1097    1557    +    3.3e-125  414.9  10.2  -
Chthonomonadaceae         -          LKAP-GUTHK2_D08_058_2017_1 -                6    1054      23    1075      19    1095    1411    +    5.8e-123  407.5  11.0  -
Chloroflexales            -          LKAP-GUTHK2_D08_058_2017_1 -                9    1054       6    1080       2    1094    1355    +    1.7e-118  393.1  11.9  -
Phycisphaeraceae          -          LKAP-GUTHK2_D08_058_2017_1 -               15    1083       7    1093       2    1100    1461    +    5.1e-113  374.8  10.7  -
Tepidisphaeraceae         -          LKAP-GUTHK2_D08_058_2017_1 -               73    1088      60    1081      32    1097    1491    +    2.9e-110  365.6  10.1  -
Methanocaldococcaceae     -          LKAP-GUTHK2_D08_058_2017_1 -               75    1021      59    1038      30    1060    1429    +       1e-77  257.9  11.2  -
Methanococcaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               70     997      68    1032      49    1052    1410    +     1.3e-72  240.6  12.1  -
Methanobacteriaceae       -          LKAP-GUTHK2_D08_058_2017_1 -               53    1020      66    1063      45    1081    1403    +     1.9e-72  239.8  11.2  -
Sulfolobaceae             -          LKAP-GUTHK2_D08_058_2017_1 -               66    1066      64    1073      49    1092    1464    +     2.9e-72  239.2  12.2  -
Nostocaceae               -          LKAP-GUTHK2_D08_058_2017_1 -                4     726     357    1085     354    1098    1476    +     1.1e-69  231.1   4.8  -
Methanoregulaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               55    1010      67    1059      47    1070    1413    +     2.1e-68  226.4  11.7  -
Methanothermaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               77     916      66     933      45     961    1482    +     2.7e-68  226.5  13.4  -
Desulfurococcaceae        -          LKAP-GUTHK2_D08_058_2017_1 -               75    1060      65    1064      44    1086    1460    +     1.3e-66  220.8  12.1  -
Archaeoglobaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               71    1033      65    1058      30    1070    1451    +     4.4e-66  218.9  11.9  -
Pyrodictiaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               80    1078      64    1072      50    1086    1497    +     5.4e-66  218.7  12.6  -
Thermoproteaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               61    1050      64    1066      44    1086    1471    +     6.2e-66  216.9  12.0  -
Methanomicrobiaceae       -          LKAP-GUTHK2_D08_058_2017_1 -               58    1012      66    1057      45    1070    1420    +     1.5e-65  217.1  12.2  -
Thermococcaceae           -          LKAP-GUTHK2_D08_058_2017_1 -               66     905      65     933      43     951    1448    +     1.4e-62  207.5  14.0  -
Acidilobaceae             -          LKAP-GUTHK2_D08_058_2017_1 -               78    1062      65    1063      44    1080    1451    +     1.6e-62  207.0  12.1  -
Methanopyraceae           -          LKAP-GUTHK2_D08_058_2017_1 -               86    1070      66    1057      44    1078    1512    +     1.8e-60  200.9  11.8  -
Halobacteriaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               72    1045      62    1063      42    1083    1474    +     2.9e-60  199.3  11.3  -
Methanomicrobiales        -          LKAP-GUTHK2_D08_058_2017_1 -               69    1027      67    1061      47    1071    1425    +     7.7e-60  198.0  12.1  -
Thermofilaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               95    1068      67    1056      59    1084    1513    +     2.3e-59  196.6  12.5  -
Nitrososphaeraceae        -          LKAP-GUTHK2_D08_058_2017_1 -               70    1048      63    1069      42    1090    1470    +     1.5e-56  187.6  10.9  -
Caldisphaeraceae          -          LKAP-GUTHK2_D08_058_2017_1 -               63    1073      65    1085      44    1095    1466    +     4.7e-56  186.2  10.3  -
Natrialbaceae             -          LKAP-GUTHK2_D08_058_2017_1 -               77    1046      67    1063      46    1083    1474    +     1.5e-55  183.6  11.2  -
Haloarculaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               73    1045      63    1063      42    1084    1473    +     3.6e-55  182.5  11.4  -
Haloferacaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               75    1047      65    1063      43    1083    1474    +     5.9e-54  178.2  11.0  -
Methanospirillaceae       -          LKAP-GUTHK2_D08_058_2017_1 -               27     855      67     932      47     953    1378    +     1.7e-52  173.6  13.7  -
Fervidicoccaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               79    1069      63    1065      41    1086    1502    +     3.8e-52  173.1  11.2  -
Cuniculiplasmataceae      -          LKAP-GUTHK2_D08_058_2017_1 -               75    1004      65    1032      45    1053    1469    +     4.9e-51  169.5  10.9  -
Halorubraceae             -          LKAP-GUTHK2_D08_058_2017_1 -               76    1061      66    1073      45    1093    1470    +     1.1e-50  167.6  10.7  -
Thermoplasmatales         -          LKAP-GUTHK2_D08_058_2017_1 -               60     989      66    1032      45    1053    1370    +     1.6e-50  168.1  11.2  -
Methanocorpusculaceae     -          LKAP-GUTHK2_D08_058_2017_1 -               71    1026      67    1059      47    1070    1421    +     2.3e-49  163.2  11.8  -
Methanomassiliicoccaceae  -          LKAP-GUTHK2_D08_058_2017_1 -               75    1047      67    1071      47    1091    1434    +       4e-49  163.2  10.1  -
Thermoplasmataceae        -          LKAP-GUTHK2_D08_058_2017_1 -               75     911      65     933      48     954    1471    +     4.9e-49  162.5  12.6  -
Halococcaceae             -          LKAP-GUTHK2_D08_058_2017_1 -              104    1045      93    1063      73    1082    1474    +     2.2e-48  160.0  10.0  -
Methermicoccaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               31     999      67    1062      47    1084    1346    +     2.3e-48  160.7  10.3  -
Methanotrichaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               75    1038      68    1061      47    1072    1423    +     2.6e-48  159.7  11.3  -
Ferroplasmaceae           -          LKAP-GUTHK2_D08_058_2017_1 -               70    1004      57    1032      43    1037    1442    +     9.3e-47  154.8  10.8  -
Methanosarcinaceae        -          LKAP-GUTHK2_D08_058_2017_1 -               54    1033      41    1058      20    1072    1425    +     1.4e-45  150.6  10.6  -
Methanocellaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               74     939      67     958      47    1077    1440    +     8.9e-44  144.8  11.6  -
Picrophilaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               86    1015      67    1032      54    1048    1479    +     1.1e-43  144.7  11.6  -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP-GUTHK2_D08_058_2017_1.fa
# Target file:     /root/Github/Database/Family_DB
# Option settings: nhmmscan --tblout /root/Github/Project_Mendel/Data/MSA_Scans_From_nhmmerscan/LKAP-GUTHK2_D08_058_2017_1.txt --noali /root/Github/Database/Family_DB /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP-GUTHK2_D08_058_2017_1.fa 
# Current dir:     /root/Github/Project_Mendel/source_code
# Date:            Mon Jun 22 10:24:14 2020
# [ok]
