# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_F11_085   -               27     936      16     924       2     924    1474    +           0 1131.9  25.8  -
Halorubraceae             -          LKAP-GutHK_F11_085   -               78     895      74     922      54     924    1470    +     5.5e-60  198.2  22.6  -
Thermoplasmatales         -          LKAP-GutHK_F11_085   -               60     875      72     922      51     924    1370    +     9.8e-60  198.2  23.0  -
Nitrososphaeraceae        -          LKAP-GutHK_F11_085   -               66     888      65     922      45     924    1470    +     1.6e-59  197.1  23.1  -
Methermicoccaceae         -          LKAP-GutHK_F11_085   -               11     852      40     922      30     924    1346    +     1.7e-59  197.3  22.5  -
Halococcaceae             -          LKAP-GutHK_F11_085   -              104     895      99     922      79     924    1474    +     2.8e-59  195.9  20.9  -
Methanocellaceae          -          LKAP-GutHK_F11_085   -               74     890      73     922      53     924    1440    +     4.4e-59  195.3  22.3  -
Picrophilaceae            -          LKAP-GutHK_F11_085   -               86     895      73     916      53     924    1479    +       3e-58  192.7  21.7  -
Methanomassiliicoccaceae  -          LKAP-GutHK_F11_085   -               75     887      73     922      53     924    1434    +       2e-56  187.0  22.4  -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP-GutHK_F11_085.fa
# Target file:     /root/Github/Database/Family_DB
# Option settings: nhmmscan --tblout /root/Github/Project_Mendel/Data/MSA_Scans_From_nhmmerscan/LKAP-GutHK_F11_085.txt --noali /root/Github/Database/Family_DB /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP-GutHK_F11_085.fa 
# Current dir:     /root/Github/Project_Mendel/source_code
# Date:            Mon Jun 22 10:58:33 2020
# [ok]
